year country 	pop       so       	gdpppp 	sopc  	oe
1978	145	14358	621.69	12161	0.0433	1000					
1979	145	14514	640.12	12227	0.0441	1000					
1980	145	14692	604.03	12520	0.04111	1000					
1981	145	14927	653.78	12689	0.0438	1000					
1982	145	15178	725.8	12132	0.04782	1000					
1983	145	15369	704.42	12784	0.04583	1000					
1984	145	15544	658.93	13274	0.04239	1000					
1985	145	15758	650.24	13583	0.04126	1000					
1986	145	16018	679.27	13608	0.04241	1000					
1987	145	16254	749.07	14102	0.04609	1000					
1988	145	16518	663.25	14704	0.04015	1000					
1989	145	16803	804.89	14854	0.0479	1000					
1990	145	17045	853.18	14445	0.05005	1000					
1960	147	2380	33.43	7960	0.01405	1000					
1961	147	2428	32.62	8066	0.01343	1000					
1962	147	2490	28.49	8154	0.01144	1000					
1963	147	2540	30.52	8387	0.01202	1000					
1964	147	2593	39.99	8677	0.01542	1000					
1965	147	2636	46.06	9032	0.01747	1000					
1966	147	2685	46.95	9121	0.01749	1000					
1967	147	2733	43.83	8704	0.01604	1000					
1968	147	2757	42.08	8624	0.01526	1000					
1969	147	2813	42.87	9122	0.01524	1000					
1970	147	2820	42.27	9392	0.01499	1000					
1971	147	2854	40.69	9726	0.01426	1000					
1972	147	2902	41.92	10004	0.01445	1000					
1973	147	2956	44.91	10631	0.01519	1000					
1974	147	3024	48.9	11088	0.01617	1000					
1975	147	3087	45.51	10526	0.01474	1000					
1976	147	3111	42.84	10631	0.01377	1000					
1977	147	3120	41.89	10045	0.01343	1000					
1978	147	3121	36.63	10036	0.01174	1000					
1979	147	3109	35.85	10342	0.01153	1000					
1980	147	3113	39.57	10362	0.01271	1000					
1981	147	3145	35.36	10815	0.01124	1000					
1982	147	3181	32.48	10896	0.01021	1000					
1983	147	3222	31.49	11004	0.00977	1000					
1984	147	3253	30.75	11446	0.00945	1000					
1985	147	3272	25.31	11443	0.00774	1000					
1986	147	3277	26.99	11704	0.00824	1000					
1987	147	3303	32.85	11688	0.00995	1000					
1988	147	3317	32.64	11501	0.00984	1000					
1989	147	3330	34.84	11762	0.01046	1000					
1990	147	3363	32.89	11513	0.00978	1000					
1960	126	8327	50.65	2093	0.00608	1000					
1961	126	8398	48.93	2318	0.00583	1000					
1962	126	8448	50.64	2337	0.00599	1000					
1963	126	8480	57.79	2581	0.00681	1000					
1964	126	8510	58.89	2800	0.00692	1000					
1965	126	8550	74.27	3067	0.00869	1000					
1966	126	8614	75.19	3187	0.00873	1000					
1967	126	8716	83.89	3322	0.00962	1000					
1968	126	8741	86.52	3557	0.0099	1000					
1969	126	8773	96.81	3904	0.01103	1000					
1970	126	8793	110.8	4224	0.0126	1000					
1971	126	8831	142.26	4506	0.01611	1000					
1972	126	8889	155.22	4869	0.01746	1000					
1973	126	8929	214.04	5208	0.02397	1000					
1974	126	8962	199.86	4967	0.0223	1000					
1975	126	9047	232.75	5201	0.02573	1000					
1976	126	9167	271.89	5418	0.02966	1000					
1977	126	9309	269.89	5518	0.02899	1000					
1978	126	9430	268.27	5791	0.02845	1000					
1979	126	9548	310.05	5896	0.03247	1000					
1980	126	9643	294.04	5901	0.03049	1000					
1981	126	9729	346.44	5903	0.03561	1000					
1982	126	9790	334.46	5971	0.03416	1000					
1983	126	9847	367.65	5935	0.03734	1000					
1984	126	9896	385.69	6007	0.03897	1000					
1985	126	9934	408.37	6224	0.04111	1000					
1986	126	9964	435.31	6279	0.04369	1000					
1987	126	9984	494.28	6248	0.04951	1000					
1988	126	10004	520.5	6459	0.05203	1000					
1989	126	10039	549.2	6734	0.05471	1000					
1990	126	10123	552.75	6768	0.0546	1000					
1960	136	8943	26.21	1869	0.00293	1000					
1961	136	8937	26.14	2001	0.00292	1000					
1962	136	9020	25.03	2070	0.00277	1000					
1963	136	9081	27.39	2192	0.00302	1000					
1964	136	9123	26.78	2244	0.00294	1000					
1965	136	9129	26.93	2407	0.00295	1000					
1966	136	9108	26.02	2469	0.00286	1000					
1967	136	9103	25.47	2646	0.0028	1000					
1968	136	9115	25.36	2922	0.00278	1000					
1969	136	9097	26.15	3006	0.00287	1000					
1970	136	9044	31.3	3306	0.00346	1000					
1971	136	8644	27.94	3740	0.00323	1000					
1972	136	8631	31.87	3994	0.00369	1000					
1973	136	8633	32.52	4459	0.00377	1000					
1974	136	8754	41.97	4645	0.00479	1000					
1975	136	9093	40.98	4310	0.00451	1000					
1976	136	9355	39.85	4461	0.00426	1000					
1977	136	9455	44.23	4644	0.00468	1000					
1978	136	9558	42.7	4690	0.00447	1000					
1979	136	9661	56.28	4848	0.00583	1000					
1980	136	9766	60.84	4982	0.00623	1000					
1981	136	9855	53.87	5017	0.00547	1000					
1982	136	9930	49.72	5118	0.00501	1000					
1983	136	10009	45.64	5082	0.00456	1000					
1984	136	10089	44.84	4974	0.00444	1000					
1985	136	10157	51.12	5070	0.00503	1000					
1986	136	10208	58.66	5288	0.00575	1000					
1987	136	10250	69.53	5662	0.00678	1000					
1988	136	10287	75.42	6010	0.00733	1000					
1989	136	9883	146.66	6575	0.01484	1000					
1990	136	9868	195.29	7478	0.01979	1000					
1960	141	27508	162.28	1622	0.0059	1000					
1961	141	28200	168.18	1631	0.00596	1000					
1962	141	28914	195.91	1670	0.00678	1000					
1963	141	29641	219.89	1813	0.00742	1000					
1964	141	30387	244.05	1816	0.00803	1000					
1965	141	31150	242.85	1812	0.0078	1000					
1966	141	31944	268.37	1989	0.0084	1000					
1967	141	32757	274.34	2018	0.00838	1000					
1968	141	33590	283.72	2109	0.00845	1000					
1969	141	34445	279.05	2163	0.0081	1000					
1970	141	35321	279.38	2202	0.00791	1000					
1971	141	36248	297.98	2368	0.00822	1000					
1972	141	37217	333.1	2463	0.00895	1000					
1973	141	38201	352.26	2471	0.00922	1000					
1974	141	39162	392.8	2658	0.01003	1000					
1975	141	40078	400.21	2838	0.00999	1000					
1976	141	40952	423.4	3007	0.01034	1000					
1977	141	41777	445.82	3112	0.01067	1000					
1978	141	42593	440.31	3052	0.01034	1000					
1979	141	43466	561.8	2955	0.01293	1000					
1980	141	44438	551.25	2874	0.0124	1000					
1981	141	45500	620.94	2858	0.01365	1000					
1982	141	46657	689.94	2868	0.01479	1000					
1983	141	47877	747.88	2909	0.01562	1000					
1984	141	49105	877.07	3022	0.01786	1000					
1985	141	50306	1128.03	3077	0.02242	1000					
1986	141	51475	1295.92	3299	0.02518	1000					
1987	141	52622	1344.34	3441	0.02555	1000					
1988	141	53764	1168.64	3419	0.02174	1000					
1989	141	54916	1464.37	3411	0.02667	1000					
1990	141	56098	1358.27	3741	0.02421	1000					
1960	1	10800	12.13	1723	0.00112	2000					
1961	1	11016	9.97	1599	0.00091	2000					
1962	1	11236	7.96	1275	0.00071	2000					
1963	1	11460	6.22	1517	0.00054	2000					
1964	1	11690	7.52	1589	0.00064	2000					
1965	1	11923	7.49	1584	0.00063	2000					
1966	1	12267	4.65	1548	0.00038	2000					
1967	1	12622	3.88	1600	0.00031	2000					
1968	1	12986	4.51	1758	0.00035	2000					
1969	1	13360	5.29	1835	0.0004	2000					
1970	1	13746	4.47	1826	0.00033	2000					
1971	1	14169	5.31	1676	0.00037	2000					
1972	1	14609	4.6	2011	0.00031	2000					
1973	1	15064	4.69	2012	0.00031	2000					
1974	1	15534	4.4	2256	0.00028	2000					
1975	1	16018	3.7	2343	0.00023	2000					
1976	1	16516	3.42	2456	0.00021	2000					
1977	1	17030	4.02	2518	0.00024	2000					
1978	1	17559	6.41	2591	0.00037	2000					
1979	1	18105	6.1	2807	0.00034	2000					
1980	1	18669	15.74	2758	0.00084	2000					
1981	1	19254	18	2761	0.00093	2000					
1982	1	19862	20.37	2823	0.00103	2000					
1983	1	20495	24.68	2903	0.0012	2000					
1984	1	21173	31.66	2962	0.0015	2000					
1985	1	21848	27.03	2988	0.00124	2000					
1986	1	22497	21.55	2970	0.00096	2000					
1987	1	23124	22.44	2913	0.00097	2000					
1988	1	23758	22.27	2769	0.00094	2000					
1989	1	24374	22.12	2843	0.00091	2000					
1990	1	25003	22.94	2777	0.00092	2000					
1960	14	25831	49.22	809	0.00191	2000					
1961	14	26578	47.53	815	0.00179	2000					
1962	14	27255	50.82	862	0.00186	2000					
1963	14	27946	58.13	908	0.00208	2000					
1964	14	28660	73.07	1017	0.00255	2000					
1965	14	29387	79.49	1024	0.0027	2000					
1966	14	30204	73.16	1015	0.00242	2000					
1967	14	30891	64.46	1013	0.00209	2000					
1968	14	31595	64.21	1072	0.00203	2000					
1969	14	32316	36.21	1111	0.00112	2000					
1970	14	33053	32.51	1163	0.00098	2000					
1971	14	33648	44.2	1206	0.00131	2000					
1972	14	34253	54.84	1204	0.0016	2000					
1973	14	34886	54.32	1182	0.00156	2000					
1974	14	35561	67.06	1175	0.00189	2000					
1975	14	36289	90.98	1293	0.00251	2000					
1976	14	37080	99.18	1371	0.00267	2000					
1977	14	37945	126.68	1406	0.00334	2000					
1978	14	38874	126.54	1465	0.00326	2000					
1979	14	39855	130.92	1525	0.00328	2000					
1980	14	40875	152.68	1645	0.00374	2000					
1981	14	41936	167.25	1722	0.00399	2000					
1982	14	43036	173.32	1732	0.00403	2000					
1983	14	44169	154.95	1808	0.00351	2000					
1984	14	45330	170.38	1908	0.00376	2000					
1985	14	46511	174.77	1953	0.00376	2000					
1986	14	47694	177.17	1927	0.00371	2000					
1987	14	48879	195.43	1890	0.004	2000					
1988	14	50064	192.43	1896	0.00384	2000					
1989	14	51246	186.83	1906	0.00365	2000					
1990	14	52426	188.59	1912	0.0036	2000					
1960	18	6827	0.5	894	7.30E-05	2000				
1961	18	7010	0.71	939	0.0001	2000					
1962	18	7198	0.38	930	5.30E-05	2000				
1963	18	7392	2.13	934	0.00029	2000					
1964	18	7591	6.22	904	0.00082	2000					
1965	18	7794	5.53	883	0.00071	2000					
1966	18	7958	4.95	862	0.00062	2000					
1967	18	8123	5.02	902	0.00062	2000					
1968	18	8294	4.97	911	0.0006	2000					
1969	18	8467	4.69	928	0.00055	2000					
1970	18	8614	5.48	1059	0.00064	2000					
1971	18	8877	5.31	1040	0.0006	2000					
1972	18	9138	6.74	942	0.00074	2000					
1973	18	9388	6.18	973	0.00066	2000					
1974	18	9621	6.83	1091	0.00071	2000					
1975	18	9835	7	914	0.00071	2000					
1976	18	10023	5.96	868	0.00059	2000					
1977	18	10177	9.04	918	0.00089	2000					
1978	18	10322	5.88	1027	0.00057	2000					
1979	18	10501	6.53	949	0.00062	2000					
1980	18	10740	6.6	976	0.00061	2000					
1981	18	11030	7.15	936	0.00065	2000					
1982	18	11366	5.94	795	0.00052	2000					
1983	18	11747	5.26	770	0.00045	2000					
1984	18	12168	3.71	785	0.0003	2000					
1985	18	12620	4.4	792	0.00035	2000					
1986	18	13073	4.02	807	0.00031	2000					
1987	18	13526	4.5	808	0.00033	2000					
1988	18	13977	4.77	811	0.00034	2000					
1989	18	14425	4.67	821	0.00032	2000					
1990	18	14870	4.58	902	0.00031	2000					
1960	22	8049	2.49	659	0.00031	2000					
1961	22	8341	2.63	563	0.00032	2000					
1962	22	8643	2.37	589	0.00027	2000					
1963	22	8958	4.1	622	0.00046	2000					
1964	22	9283	13.34	622	0.00144	2000					
1965	22	9620	15	614	0.00156	2000					
1966	22	9970	13.34	660	0.00134	2000					
1967	22	10331	14.07	679	0.00136	2000					
1968	22	10707	13.42	698	0.00125	2000					
1969	22	11094	13.24	711	0.00119	2000					
1970	22	11498	14.34	586	0.00125	2000					
1971	22	11902	15.68	749	0.00132	2000					
1972	22	12327	14.39	839	0.00117	2000					
1973	22	12773	16.06	804	0.00126	2000					
1974	22	13244	17.99	847	0.00136	2000					
1975	22	13741	17.5	837	0.00127	2000					
1976	22	14258	14.4	804	0.00101	2000					
1977	22	14805	16.79	843	0.00113	2000					
1978	22	15383	15.95	898	0.00104	2000					
1979	22	15992	14.59	931	0.00091	2000					
1980	22	16632	19.92	911	0.0012	2000					
1981	22	17304	17.45	870	0.00101	2000					
1982	22	18011	12.06	860	0.00067	2000					
1983	22	18744	10.24	836	0.00055	2000					
1984	22	19490	10.57	833	0.00054	2000					
1985	22	20241	9.85	794	0.00049	2000					
1986	22	21000	9.95	857	0.00047	2000					
1987	22	21769	11.04	881	0.00051	2000					
1988	22	22550	10.87	902	0.00048	2000					
1989	22	23346	11.12	914	0.00048	2000					
1990	22	24160	11.49	911	0.00048	2000					
1960	25	5336	0.24	1191	4.50E-05	2000				
1961	25	5463	0.07	1179	1.30E-05	2000				
1962	25	5593	0.07	1185	1.30E-05	2000				
1963	25	5726	0.21	1152	3.70E-05	2000				
1964	25	5863	0.18	1120	3.10E-05	2000				
1965	25	6003	0.2	1111	3.30E-05	2000				
1966	25	6145	1.11	1111	0.00018	2000					
1967	25	6292	2.21	1121	0.00035	2000					
1968	25	6441	2.95	1095	0.00046	2000					
1969	25	6595	3.13	1132	0.00047	2000					
1970	25	6752	3.67	1146	0.00054	2000					
1971	25	6908	3.28	1206	0.00047	2000					
1972	25	7069	3.78	1137	0.00053	2000					
1973	25	7237	3.75	1069	0.00052	2000					
1974	25	7414	3.85	1014	0.00052	2000					
1975	25	7604	4.92	995	0.00065	2000					
1976	25	7814	3.29	930	0.00042	2000					
1977	25	8030	2.9	939	0.00036	2000					
1978	25	8253	2.93	905	0.00036	2000					
1979	25	8481	1.84	995	0.00022	2000					
1980	25	8714	0.96	984	0.00011	2000					
1981	25	8951	3.18	847	0.00036	2000					
1982	25	9189	2.07	821	0.00023	2000					
1983	25	9435	2.49	795	0.00026	2000					
1984	25	9698	1.02	766	0.00011	2000					
1985	25	9985	1.37	769	0.00014	2000					
1986	25	10292	0.63	730	6.10E-05	2000				
1987	25	10617	1.46	711	0.00014	2000					
1988	25	10957	2.1	685	0.00019	2000					
1989	25	11311	0.86	680	7.60E-05	2000				
1990	25	11673	0.84	675	7.20E-05	2000				
1960	30	11891	21.66	815	0.00182	2000					
1961	30	12220	21.31	994	0.00174	2000					
1962	30	12557	21.42	1110	0.00171	2000					
1963	30	12905	23.91	1246	0.00185	2000					
1964	30	13262	26.3	1268	0.00198	2000					
1965	30	13627	27.05	1221	0.00199	2000					
1966	30	13949	28.81	1161	0.00207	2000					
1967	30	14277	28.11	1184	0.00197	2000					
1968	30	14613	28.88	1277	0.00198	2000					
1969	30	14958	27.37	1322	0.00183	2000					
1970	30	15310	29.82	1342	0.00195	2000					
1971	30	15712	30.65	1367	0.00195	2000					
1972	30	16113	34.28	1367	0.00213	2000					
1973	30	16511	36.68	1384	0.00222	2000					
1974	30	16908	39.34	1433	0.00233	2000					
1975	30	17305	38.59	1548	0.00223	2000					
1976	30	17702	36.92	1745	0.00209	2000					
1977	30	18097	41.34	1774	0.00228	2000					
1978	30	18501	44.37	1819	0.0024	2000					
1979	30	18926	53.04	1879	0.0028	2000					
1980	30	19382	52.18	1941	0.00269	2000					
1981	30	19867	59.08	1855	0.00297	2000					
1982	30	20378	65.69	1954	0.00322	2000					
1983	30	20916	64.08	1879	0.00306	2000					
1984	30	21478	65.13	1905	0.00303	2000					
1985	30	22061	67.05	1956	0.00304	2000					
1986	30	22706	60.02	2104	0.00264	2000					
1987	30	23376	61.83	2014	0.00265	2000					
1988	30	23960	62.41	2131	0.0026	2000					
1989	30	24520	65.05	2159	0.00265	2000					
1990	30	25091	65.06	2151	0.00259	2000					
1960	31	7551	6.76	1153	0.0009	2000					
1961	31	7718	11.82	1155	0.00153	2000					
1962	31	7888	10.89	1227	0.00138	2000					
1963	31	8061	10.51	1253	0.0013	2000					
1964	31	8239	10.51	1264	0.00128	2000					
1965	31	8421	10.21	1265	0.00121	2000					
1966	31	8606	10.19	1278	0.00118	2000					
1967	31	8796	10.16	1367	0.00116	2000					
1968	31	8990	12.56	1429	0.0014	2000					
1969	31	9188	13.22	1500	0.00144	2000					
1970	31	9390	12.75	1497	0.00136	2000					
1971	31	9613	13.52	1562	0.00141	2000					
1972	31	9845	11.97	1590	0.00122	2000					
1973	31	10087	12.78	1681	0.00127	2000					
1974	31	10340	11.33	1407	0.0011	2000					
1975	31	10606	11.39	1182	0.00107	2000					
1976	31	10888	9.81	1095	0.0009	2000					
1977	31	11179	9.28	1103	0.00083	2000					
1978	31	11479	6.36	1072	0.00055	2000					
1979	31	11787	6.72	1078	0.00057	2000					
1980	31	12103	8.88	923	0.00073	2000					
1981	31	12426	8.01	939	0.00064	2000					
1982	31	12756	7.08	905	0.00056	2000					
1983	31	13093	4.37	866	0.00033	2000					
1984	31	13438	3.08	849	0.00023	2000					
1985	31	13791	1.63	749	0.00012	2000					
1986	31	14153	12.59	770	0.00089	2000					
1987	31	14525	7.27	744	0.0005	2000					
1988	31	14907	5.9	760	0.0004	2000					
1989	31	15301	4.5	791	0.00029	2000					
1990	31	15707	0.73	760	4.60E-05	2000				
1960	32	768	25.59	1790	0.03332	2000					
1961	32	789	29.74	1793	0.03769	2000					
1962	32	812	37.31	1973	0.04595	2000					
1963	32	835	30.22	2076	0.03619	2000					
1964	32	859	39.63	2233	0.04614	2000					
1965	32	883	43.51	2325	0.04928	2000					
1966	32	908	41.21	2407	0.04539	2000					
1967	32	934	36.5	2385	0.03908	2000					
1968	32	961	34.17	2407	0.03556	2000					
1969	32	988	33.18	2485	0.03358	2000					
1970	32	1016	29.43	2642	0.02897	2000					
1971	32	832	30.87	3324	0.0371	2000					
1972	32	854	28.62	3499	0.03351	2000					
1973	32	877	30.05	3595	0.03426	2000					
1974	32	901	27.31	3865	0.03031	2000					
1975	32	926	26.72	3608	0.02886	2000					
1976	32	952	35.11	3763	0.03688	2000					
1977	32	979	38.95	4004	0.03979	2000					
1978	32	1007	30.65	4200	0.03044	2000					
1979	32	1036	32.22	4313	0.0311	2000					
1980	32	1066	30.18	2904	0.02831	2000					
1981	32	1097	34.58	3287	0.03152	2000					
1982	32	1130	35.7	3118	0.03159	2000					
1983	32	1163	36.31	2891	0.03122	2000					
1984	32	1198	33.76	2809	0.02818	2000					
1985	32	1235	33.82	2604	0.02738	2000					
1986	32	1273	35.36	2649	0.02778	2000					
1987	32	1313	28.37	2819	0.02161	2000					
1988	32	1354	29.87	2787	0.02206	2000					
1989	32	1396	24.68	2796	0.01768	2000					
1990	32	1439	23.68	2854	0.01646	2000					
1960	34	51595	7.24	567	0.00014	2000					
1961	34	52919	7.45	551	0.00014	2000					
1962	34	54276	8.01	553	0.00015	2000					
1963	34	55672	7.19	582	0.00013	2000					
1964	34	57062	8.77	606	0.00015	2000					
1965	34	58492	9.66	624	0.00017	2000					
1966	34	59954	9.93	582	0.00017	2000					
1967	34	61450	5.23	485	8.50E-05	2000				
1968	34	62992	0.18	482	2.90E-06	2000				
1969	34	64567	0.33	625	5.10E-06	2000				
1970	34	66182	3.29	767	5.00E-05	2000				
1971	34	54701	5.69	1055	0.0001	2000					
1972	34	56239	6.28	1002	0.00011	2000					
1973	34	57835	5.98	1068	0.0001	2000					
1974	34	59500	6.07	1192	0.0001	2000					
1975	34	61241	5.71	1245	9.30E-05	2000				
1976	34	63043	6.3	1281	0.0001	2000					
1977	34	64931	5.66	1480	8.70E-05	2000				
1978	34	66911	6.94	1513	0.0001	2000					
1979	34	68983	6.36	1393	9.20E-05	2000				
1980	34	71148	8.55	1438	0.00012	2000					
1981	34	73409	8.82	1515	0.00012	2000					
1982	34	75774	4.55	1419	6.00E-05	2000				
1983	34	78217	5.45	1259	7.00E-05	2000				
1984	34	80699	9.16	1068	0.00011	2000					
1985	34	83196	9.68	1062	0.00012	2000					
1986	34	85718	9.07	973	0.00011	2000					
1987	34	88273	5.05	901	5.70E-05	2000				
1988	34	90866	9.2	940	0.0001	2000					
1989	34	93505	7	952	7.50E-05	2000				
1990	34	96203	7.02	995	7.30E-05	2000				
1960	41	18039	344.89	2191	0.01912	2000					
1961	41	18439	360.69	2214	0.01956	2000					
1962	41	18848	376.05	2291	0.01995	2000					
1963	41	19265	378.22	2420	0.01963	2000					
1964	41	19692	408.23	2545	0.02073	2000					
1965	41	20128	437.84	2617	0.02175	2000					
1966	41	20575	472.75	2684	0.02298	2000					
1967	41	21031	494.07	2787	0.02349	2000					
1968	41	21495	526.21	2861	0.02448	2000					
1969	41	21972	545.04	3004	0.02481	2000					
1970	41	22458	557.21	3254	0.02481	2000					
1971	41	23076	582.46	3348	0.02524	2000					
1972	41	23736	590.26	3271	0.02487	2000					
1973	41	24426	639.41	3408	0.02618	2000					
1974	41	25132	671.32	3625	0.02671	2000					
1975	41	25842	695.88	3569	0.02693	2000					
1976	41	26550	759.27	3527	0.0286	2000					
1977	41	27272	849.4	3326	0.03115	2000					
1978	41	28009	874.93	3340	0.03124	2000					
1979	41	28761	982.14	3347	0.03415	2000					
1980	41	29529	1072.8	3496	0.03633	2000					
1981	41	30313	1205.84	3676	0.03978	2000					
1982	41	31113	1228.5	3588	0.03949	2000					
1983	41	31928	1287.6	3363	0.04033	2000					
1984	41	32757	1442.66	3501	0.04404	2000					
1985	41	33597	1526.54	3322	0.04544	2000					
1986	41	34449	1533.31	3293	0.04451	2000					
1987	41	35312	1549.09	3299	0.04387	2000					
1988	41	36185	1546.57	3361	0.04274	2000					
1989	41	37068	1515.68	3341	0.04089	2000					
1990	41	37959	1519.56	3248	0.04003	2000					
1960	44	10027	0.03	319	3.00E-06	2000				
1961	44	10329	0.03	303	2.90E-06	2000				
1962	44	10643	0.04	326	3.80E-06	2000				
1963	44	10966	0.03	329	2.70E-06	2000				
1964	44	11297	0.01	371	8.90E-07	2000				
1965	44	11640	0.03	371	2.60E-06	2000				
1966	44	11993	1.91	384	0.00016	2000					
1967	44	12355	4.53	397	0.00037	2000					
1968	44	12729	4.9	419	0.00038	2000					
1969	44	13116	3.8	419	0.00029	2000					
1970	44	13513	4.42	424	0.00033	2000					
1971	44	13877	5.46	438	0.00039	2000					
1972	44	14223	4.57	432	0.00032	2000					
1973	44	14572	5.18	469	0.00036	2000					
1974	44	14951	5.41	508	0.00036	2000					
1975	44	15379	4.37	509	0.00028	2000					
1976	44	15877	5.29	495	0.00033	2000					
1977	44	16402	4.07	482	0.00025	2000					
1978	44	17000	3.29	543	0.00019	2000					
1979	44	17516	3.3	535	0.00019	2000					
1980	44	18098	3.27	480	0.00018	2000					
1981	44	18692	3.45	461	0.00018	2000					
1982	44	19298	2.96	466	0.00015	2000					
1983	44	19912	2.6	422	0.00013	2000					
1984	44	20533	2.58	463	0.00013	2000					
1985	44	21161	2.51	473	0.00012	2000					
1986	44	21751	2.4	540	0.00011	2000					
1987	44	22370	2.62	538	0.00012	2000					
1988	44	23020	2.63	534	0.00011	2000					
1989	44	23787	2.57	537	0.00011	2000					
1990	44	24583	2.55	543	0.0001	2000					
1960	46	4221	2.68	1101	0.00063	2000					
1961	46	4298	2.66	1136	0.00062	2000					
1962	46	4376	2.17	1110	0.0005	2000					
1963	46	4456	2.94	1188	0.00066	2000					
1964	46	4541	6.71	1201	0.00148	2000					
1965	46	4630	7.06	1236	0.00152	2000					
1966	46	4716	7.1	1245	0.00151	2000					
1967	46	4819	6.14	1224	0.00127	2000					
1968	46	4920	5.71	1261	0.00116	2000					
1969	46	5028	6.46	1323	0.00128	2000					
1970	46	5127	8.08	1442	0.00158	2000					
1971	46	5208	7.93	1533	0.00152	2000					
1972	46	5294	5.63	1736	0.00106	2000					
1973	46	5389	6.57	1805	0.00122	2000					
1974	46	5494	6.46	1880	0.00118	2000					
1975	46	5611	3.9	2050	0.0007	2000					
1976	46	5742	5.52	2137	0.00096	2000					
1977	46	5889	5.42	2225	0.00092	2000					
1978	46	6048	5.74	2295	0.00095	2000					
1979	46	6215	7.79	2368	0.00125	2000					
1980	46	6384	10.38	2527	0.00163	2000					
1981	46	6557	9.08	2621	0.00138	2000					
1982	46	6732	6.35	2597	0.00094	2000					
1983	46	6909	6.96	2646	0.00101	2000					
1984	46	7086	5.51	2727	0.00078	2000					
1985	46	7261	5.33	2758	0.00073	2000					
1986	46	7465	4.98	2685	0.00067	2000					
1987	46	7639	5.92	2717	0.00077	2000					
1988	46	7770	6.61	2697	0.00085	2000					
1989	46	7910	3.7	2771	0.00047	2000					
1990	46	8074	4.34	2910	0.00054	2000					
1960	48	15986	263.21	489	0.01647	2000					
1961	48	16292	260.03	463	0.01596	2000					
1962	48	16604	234.45	586	0.01412	2000					
1963	48	16923	236.99	560	0.014	2000					
1964	48	17247	244.61	534	0.01418	2000					
1965	48	17578	265.46	548	0.0151	2000					
1966	48	17944	263.73	615	0.0147	2000					
1967	48	18316	264.8	599	0.01446	2000					
1968	48	18696	323.49	596	0.0173	2000					
1969	48	19086	285.69	624	0.01497	2000					
1970	48	19769	298.52	686	0.0151	2000					
1971	48	20823	308.87	675	0.01483	2000					
1972	48	21393	323.75	646	0.01513	2000					
1973	48	21985	353.37	689	0.01607	2000					
1974	48	22603	355.8	693	0.01574	2000					
1975	48	23251	345.79	637	0.01487	2000					
1976	48	23937	302.66	585	0.01264	2000					
1977	48	24655	304.08	557	0.01233	2000					
1978	48	25406	312.21	518	0.01229	2000					
1979	48	26190	292.71	490	0.01118	2000					
1980	48	27009	291.71	476	0.0108	2000					
1981	48	27836	347.2	493	0.01247	2000					
1982	48	28723	323.06	482	0.01125	2000					
1983	48	29662	331.74	461	0.01118	2000					
1984	48	30645	343.74	458	0.01122	2000					
1985	48	31667	340.79	442	0.01076	2000					
1986	48	32731	341.91	454	0.01045	2000					
1987	48	33843	308.48	463	0.00912	2000					
1988	48	34995	323.77	460	0.00925	2000					
1989	48	36180	284.21	424	0.00786	2000					
1990	48	37302	247.39	401	0.00663	2000					
1960	49	3141	489.42	965	0.15582	2000					
1961	49	3229	482.1	963	0.1493	2000					
1962	49	3321	465	939	0.14002	2000					
1963	49	3414	479.52	881	0.14046	2000					
1964	49	3511	521.31	910	0.14848	2000					
1965	49	3610	568.56	1110	0.1575	2000					
1966	49	3711	499.67	1033	0.13465	2000					
1967	49	3816	530.08	1098	0.13891	2000					
1968	49	3924	637.3	1123	0.16241	2000					
1969	49	4034	640.16	1042	0.15869	2000					
1970	49	4159	630.99	1117	0.15172	2000					
1971	49	4312	583.54	1140	0.13533	2000					
1972	49	4438	644.01	1185	0.14511	2000					
1973	49	4568	640.5	1163	0.14021	2000					
1974	49	4702	629.72	1208	0.13393	2000					
1975	49	4841	567.73	1251	0.11728	2000					
1976	49	4982	490.82	1174	0.09852	2000					
1977	49	5131	446.46	1047	0.08701	2000					
1978	49	5291	434.79	1007	0.08218	2000					
1979	49	5463	384.04	950	0.0703	2000					
1980	49	5647	391.66	971	0.06936	2000					
1981	49	5844	441.5	1024	0.07555	2000					
1982	49	6056	453.61	940	0.0749	2000					
1983	49	6279	536.49	840	0.08544	2000					
1984	49	6512	412.44	827	0.06334	2000					
1985	49	6753	371.82	808	0.05506	2000					
1986	49	7001	327.53	786	0.04678	2000					
1987	49	7256	306.78	760	0.04228	2000					
1988	49	7517	325.78	757	0.04334	2000					
1989	49	7782	317.55	756	0.04081	2000					
1990	49	8050	304.64	689	0.03784	2000					
1960	50	3606	15.12	989	0.00419	2000					
1961	50	3748	14.91	1005	0.00398	2000					
1962	50	3895	13.89	942	0.00357	2000					
1963	50	4049	14.5	889	0.00358	2000					
1964	50	4208	33.83	918	0.00804	2000					
1965	50	4372	39.25	946	0.00898	2000					
1966	50	4545	42.51	962	0.00935	2000					
1967	50	4724	38.43	1002	0.00814	2000					
1968	50	4909	43.25	972	0.00881	2000					
1969	50	5102	47.53	1014	0.00932	2000					
1970	50	5249	58.88	1082	0.01122	2000					
1971	50	5416	60.92	1168	0.01125	2000					
1972	50	5579	62.93	1179	0.01128	2000					
1973	50	5739	68.98	1203	0.01202	2000					
1974	50	5900	72.3	1364	0.01225	2000					
1975	50	6065	69.22	1349	0.01141	2000					
1976	50	6222	86.14	1200	0.01384	2000					
