no,district,landid,land,eligible,voters,turnout,cducsu1,cducsu2,spd1,spd2,dielinke1,dielinke2,greens1,greens2,pirates1,pirates2,afd1,afd2,area,population,popdensity,pop18_25,pop25_35,pop35_60,pop75_,abitur,localbusinesstax,unemployment,socialbenefits
67,Börde - Jerichower Land,15,Saxony-Anhalt,228139,141814,62.161224,43.64167148518482,42.45490572157897,22.64797551722679,19.23575951598573,20.98452903098425,21.32017995402428,2.546293031717602,3.018742860366395,2.9785495,1.8023609,,3.7937016,3943,271,69,6,11,40,10,24,375,9,94
68,Harz,15,Saxony-Anhalt,224917,132539,58.927959,45.10295082956715,42.71874693486446,18.76806072174982,18.41495710696474,22.52921781513366,22.54053523868446,3.718150883890779,3.558197964372751,1.928489,1.701386,,3.715133,2339,265,114,6,10,37,11,30,213,9,113
69,Magdeburg,15,Saxony-Anhalt,244267,154404,63.211159,35.65063081267324,36.90448433978394,24.70985207637108,20.57135825496749,24.76036890236004,23.62179736276262,3.933188259371519,5.498562213414161,2.6896973,2.366519,,4.1158261,588,292,497,9,13,34,10,37,331,11,139
70,Dessau - Wittenberg,15,Saxony-Anhalt,185954,120805,64.964989,43.91208973138529,41.91300028972311,17.00674640950292,16.84864037084558,21.53470468937544,22.46264641364182,4.301146475725343,3.893050784321841,1.699433,1.7880055,4.6148753,5.0080709,2174,219,101,6,10,37,11,32,331,11,113
71,Anhalt,15,Saxony-Anhalt,236732,140667,59.420357,40.1757341807247,40.77502186013777,15.1023338807254,16.50991348361734,28.23334541861275,25.18358961234689,2.050232108454719,2.5393304755202,1.2227459,1.5639774,4.488615,4.7168136,2257,280,125,6,10,38,11,27,243,11,133
72,Halle,15,Saxony-Anhalt,219667,143332,65.249672,35.72544860882427,37.16197359975442,22.99346970669495,17.62272207183323,25.12069879719812,24.03440962241509,3.687941283174728,7.105880054698183,2.0218792,2.5109537,3.3265426,4.101666,414,267,648,9,14,33,9,37,229,11,143
73,Burgenland - Saalekreis,15,Saxony-Anhalt,201043,123809,61.583344,44.05495561711992,42.15687066368358,15.17741036596693,16.03276013860059,25.28087618832234,23.36906040756326,3.844631650364674,3.014320445201883,2.009547,1.693738,,4.2274795,1711,239,141,6,11,38,12,32,383,12,122
74,Mansfeld,15,Saxony-Anhalt,217783,132983,61.062157,41.13683703932082,40.50818525676214,17.71655023574442,16.84350631283698,27.0575938277825,25.27616311859411,2.401058781949573,2.73493604445681,2.3484204,1.680666,,4.044126,2305,256,112,6,10,38,11,24,164,12,122
75,Berlin-Mitte,11,Berlin,204085,141574,69.370117,23.49654597595604,22.28092728890898,27.80171500416743,25.71305465692853,16.38718973822877,18.41298543517878,18.14386822439149,16.4783081639284,3.8587594,4.6675239,2.9751225,3.8446324,39,344,8607,8,16,36,8,41,355,11,161
76,Berlin-Pankow,11,Berlin,235344,175061,74.385155,23.58892043344891,23.20162686149399,20.6670817600722,21.7238562558194,27.9479724210418,24.83248696168764,14.53321984908118,13.88087580900372,3.3474047,3.8655097,4.0488744,4.7823329,96,309,3167,8,16,36,8,41,355,11,161
77,Berlin-Reinickendorf,11,Berlin,182934,133484,72.968391,44.0839351532768,39.36426837673429,28.91207935033412,25.89898414791286,6.373797608702167,7.786701027838543,6.585058883461688,8.560576548500194,2.435498,2.5598574,4.3840461,5.9228072,89,246,2731,8,16,36,8,41,355,11,161
